,chr2L,chr2R,chr3L,chr3R,chrX,H3K4me2,ISWI,Chriz,WDS,MRG15,H3K79me3,RNA-polymerase-II,H1,H3K27me3,start_coord
0,1.0,0.0,0.0,0.0,0.0,0.8491105359447796,0.7881492786394251,0.6952743914397789,0.20013539682369083,-0.1733522011380557,0.5307077455195901,4.161415352056582,-2.285697815802942,0.45898807797247426,0.0
1,1.0,0.0,0.0,0.0,0.0,-0.7087549233564083,-0.17452006991529823,0.17483098646119768,-0.7202086951346693,-0.6998850997022887,-0.13192886875161938,-0.05950907997878217,0.675225866650682,1.4182891038063248,0.002
2,1.0,0.0,0.0,0.0,0.0,-0.8801035136046782,-0.5825998598242257,-0.6259889500339929,-0.9417868251375364,-0.8297278080387736,-0.8610655079355668,0.242099926053827,0.5712367149975147,1.4891474628309707,0.004
3,1.0,0.0,0.0,0.0,0.0,1.1750361142429928,1.543945940764839,0.33784394613913415,1.0317836104829097,0.7832708271101844,0.7368001735367719,2.364454663485463,-0.2866702330218688,-1.1999370713838644,0.006
4,1.0,0.0,0.0,0.0,0.0,0.5026620825075601,0.09250033831811467,0.5247888140787977,0.393679735551693,0.7479241668282058,0.18978436030116735,1.6014211328233228,0.18071741450332926,-1.236346139571753,0.008
5,1.0,0.0,0.0,0.0,0.0,1.9911162046234863,1.2911113672575332,2.4157291387335382,1.9022484892578266,1.735544777495098,1.1886664495101025,2.246929869204347,-0.7345110558820279,-1.674486349668492,0.01
6,1.0,0.0,0.0,0.0,0.0,1.638312168923565,1.8611765967093055,0.3672621785823581,1.7386379468177422,0.967446449096036,1.1856599344601586,2.3061532511242557,-2.1422526379013815,-1.158442785726733,0.012
7,1.0,0.0,0.0,0.0,0.0,1.175636665514567,1.2123252676305842,1.7227393180506538,1.681273422080194,1.7339638819765677,1.0465849221110815,0.8622521715783258,0.23570517932703153,-0.9317025768045752,0.014
8,1.0,0.0,0.0,0.0,0.0,-0.01977735351887683,-0.06194528547166936,-0.03477089958273459,0.009797154313156337,-0.028379838469907777,-0.10104651050210073,0.002065098922857753,-0.2710868135062059,-0.05106213452847496,0.016
9,1.0,0.0,0.0,0.0,0.0,0.3678285224195227,-0.5458442138881873,-0.3045728422064978,-0.42935522638203466,1.0877092899719467,1.7665620244904732,-1.0594962849521559,0.8171206160937202,-0.9541327727138219,0.018
10,1.0,0.0,0.0,0.0,0.0,0.9321791539316251,0.6426408814580429,1.068653280234075,0.8053013103954147,1.4816867871982307,0.8717821782221381,0.574077212550368,0.34487738755892305,-1.7030429482294456,0.02
